connectionTime,dayOfMonth_c,dayOfWeek_c,monthOfYear_c,session_count_c
2019-01-14 13:30:00,14,0,1,5
2019-01-14 14:00:00,14,0,1,11
2019-01-14 14:30:00,14,0,1,13
2019-01-14 15:00:00,14,0,1,14
2019-01-14 15:30:00,14,0,1,8
2019-01-14 16:30:00,14,0,1,1
2019-01-14 19:00:00,14,0,1,1
2019-01-14 19:30:00,14,0,1,1
2019-01-14 20:30:00,14,0,1,1
2019-01-14 22:00:00,14,0,1,1
2019-01-14 22:30:00,14,0,1,1
2019-01-14 23:00:00,14,0,1,2
2019-01-15 00:00:00,15,1,1,2
2019-01-15 00:30:00,15,1,1,1
2019-01-15 01:00:00,15,1,1,1
2019-01-15 08:00:00,15,1,1,1
2019-01-15 13:00:00,15,1,1,2
2019-01-15 13:30:00,15,1,1,3
2019-01-15 14:00:00,15,1,1,8
2019-01-15 14:30:00,15,1,1,13
2019-01-15 15:00:00,15,1,1,14
2019-01-15 15:30:00,15,1,1,10
2019-01-15 17:30:00,15,1,1,1
2019-01-15 19:00:00,15,1,1,1
2019-01-15 19:30:00,15,1,1,1
2019-01-15 20:00:00,15,1,1,3
2019-01-15 20:30:00,15,1,1,1
2019-01-15 22:30:00,15,1,1,3
2019-01-16 00:00:00,16,2,1,2
2019-01-16 01:00:00,16,2,1,2
2019-01-16 01:30:00,16,2,1,1
2019-01-16 13:30:00,16,2,1,5
2019-01-16 14:00:00,16,2,1,4
2019-01-16 14:30:00,16,2,1,15
2019-01-16 15:00:00,16,2,1,16
2019-01-16 15:30:00,16,2,1,11
2019-01-16 16:00:00,16,2,1,1
2019-01-16 17:00:00,16,2,1,1
2019-01-16 18:00:00,16,2,1,1
2019-01-16 19:30:00,16,2,1,2
2019-01-16 20:00:00,16,2,1,1
2019-01-16 21:00:00,16,2,1,1
2019-01-16 21:30:00,16,2,1,1
2019-01-16 22:30:00,16,2,1,2
2019-01-16 23:30:00,16,2,1,1
2019-01-17 00:00:00,17,3,1,1
2019-01-17 00:30:00,17,3,1,1
2019-01-17 01:00:00,17,3,1,1
2019-01-17 02:00:00,17,3,1,1
2019-01-17 13:30:00,17,3,1,2
2019-01-17 14:00:00,17,3,1,4
2019-01-17 14:30:00,17,3,1,9
2019-01-17 15:00:00,17,3,1,16
2019-01-17 15:30:00,17,3,1,9
2019-01-17 16:00:00,17,3,1,12
2019-01-17 17:30:00,17,3,1,1
